conf_i,ext_i,ext_p,type
73,56,37498.08203125,1
77,76,36624.859375,-1
84,81,36866.1328125,1
86,85,35756.5546875,-1
115,106,37551.703125,1
117,116,37282.87890625,-1
124,119,37462.75,1
126,125,36968.77734375,-1
194,154,37819.796875,1
201,198,37220.72265625,-1
208,203,37616.91796875,1
222,221,36756.55859375,-1
234,229,37197.01171875,1
236,235,36915.98828125,-1
268,262,38147.8046875,1
276,274,37660.08984375,-1
286,281,37975.8125,1
288,286,37670.1484375,-1
405,395,41864.7265625,1
407,405,41518.875,-1
454,434,43986.21484375,1
457,456,43144.17578125,-1
477,461,43519.484375,1
480,479,43151.48828125,-1
502,491,44300.2421875,1
506,505,43831.25,-1
527,509,43981.71484375,1
529,527,43625.54296875,-1
543,532,43841.3671875,1
545,544,41973.96875,-1
555,551,42352.20703125,1
562,561,40741.78515625,-1
580,574,41835.37109375,1
584,583,40667.5625,-1
592,589,41299.0078125,1
595,593,40815.9921875,-1
627,625,43083.65625,1
630,629,42468.77734375,-1
643,636,42977.0,1
645,644,42570.25,-1
651,646,42822.63671875,1
655,654,41801.40625,-1
686,678,42461.85546875,1
701,700,41600.08203125,-1
708,705,42056.93359375,1
713,712,40876.4453125,-1
748,735,43024.25390625,1
749,748,42369.578125,-1
778,775,43958.1875,1
779,778,43441.5,-1
798,794,43976.2578125,1
800,799,43444.0234375,-1
813,810,44124.8125,1
823,822,43565.7109375,-1
832,829,43852.3828125,1
841,834,43534.58984375,-1
859,856,43827.5546875,1
866,859,43509.5859375,-1
876,867,43734.29296875,1
880,878,42939.5,-1
907,892,43628.44921875,1
912,911,42395.44140625,-1
917,914,42647.9296875,1
920,919,41996.14453125,-1
955,950,43510.453125,1
959,958,42955.109375,-1
963,959,43063.9609375,1
968,965,42450.19140625,-1
989,987,42809.34765625,1
992,991,41824.21484375,-1
1006,998,42100.1015625,1
1008,1006,41605.88671875,-1
1024,1013,42380.515625,1
1025,1024,42081.79296875,-1
1044,1031,42624.0859375,1
1046,1045,42280.234375,-1
1084,1078,45672.62109375,1
1088,1087,45004.8515625,-1
1105,1095,45252.98828125,1
1109,1108,42240.49609375,-1
1143,1139,44243.765625,1
1144,1143,43427.5390625,-1
1157,1150,43944.03515625,1
1159,1158,43273.52734375,-1
1171,1164,44044.7421875,1
1173,1172,43507.01171875,-1
1206,1203,44332.01953125,1
1207,1206,43966.13671875,-1
1214,1209,44169.0078125,1
1217,1216,43388.3515625,-1
1248,1235,46890.94921875,1
1249,1248,46463.0625,-1
1259,1253,46796.13671875,1
1260,1259,45430.2109375,-1
1270,1265,45984.8359375,1
1271,1270,45392.0,-1
1274,1271,45586.62890625,1
1275,1274,44707.5546875,-1
1291,1287,46508.0078125,1
1293,1292,45916.1171875,-1
1301,1299,47328.09765625,1
1303,1302,45989.75390625,-1
1313,1304,46320.8671875,1
1315,1314,45954.98828125,-1
1323,1315,46119.6640625,1
1327,1326,43555.76953125,-1
1332,1329,43398.765625,1
1333,1332,42484.0703125,-1
1344,1341,43083.1328125,1
1347,1345,42605.5390625,-1
1378,1365,42905.34375,1
1382,1381,41715.06640625,-1
1404,1401,42834.359375,1
1408,1405,42499.3359375,-1
1433,1427,43224.27734375,1
1447,1446,42320.59375,-1
1464,1460,42758.55859375,1
1467,1466,42389.40234375,-1
1470,1468,42602.703125,1
1475,1474,40780.03125,-1
1492,1488,41357.8515625,1
1495,1494,40360.8203125,-1
1551,1539,41751.6875,1
1555,1554,40761.76953125,-1
1564,1555,40991.54296875,1
1567,1566,40471.51953125,-1
1572,1567,40138.83984375,1
1574,1573,39518.71484375,-1
1581,1578,40020.98046875,1
1586,1585,38802.8515625,-1
1616,1608,40112.48828125,1
1617,1616,39742.14453125,-1
1637,1632,40075.53515625,1
1639,1638,39682.3359375,-1
1676,1664,41954.46484375,1
1679,1678,41472.2109375,-1
1711,1703,42510.859375,1
1714,1713,41790.0078125,-1
1765,1761,43511.48828125,1
1770,1767,42776.56640625,-1
1776,1772,42931.625,1
1777,1776,42391.32421875,-1
1786,1783,43476.14453125,1
1795,1791,41951.44140625,-1
1827,1814,43106.7734375,1
1828,1827,42661.96484375,-1
1866,1838,43174.96875,1
1870,1868,42741.36328125,-1
1884,1873,42999.98046875,1
1888,1886,42356.0390625,-1
1901,1898,43205.87890625,1
1904,1901,42593.7421875,-1
1937,1925,43146.98828125,1
1938,1937,42781.453125,-1
2005,2001,47533.58203125,1
2007,2006,47102.61328125,-1
2059,2054,48399.3671875,1
2060,2059,48099.74609375,-1
2064,2060,48158.10546875,1
2067,2064,47884.171875,-1
2091,2086,50032.52734375,1
2095,2094,48497.3046875,-1
2146,2136,52276.16015625,1
2148,2147,51371.62890625,-1
2164,2160,52215.70703125,1
2172,2169,51765.13671875,-1
2183,2173,52034.51953125,1
2190,2188,50852.0703125,-1
2240,2228,52327.34765625,1
2243,2242,51807.94921875,-1
2261,2258,52152.48828125,1
2264,2263,51316.17578125,-1
2275,2268,52185.3828125,1
2280,2279,51069.21484375,-1
2307,2302,51692.31640625,1
2308,2307,51131.72265625,-1
2320,2314,51543.52734375,1
2327,2325,50901.3125,-1
2340,2328,51146.4609375,1
2345,2343,50588.65625,-1
2397,2372,51684.58203125,1
2401,2399,50948.03515625,-1
2458,2453,60986.41796875,1
2459,2458,60316.87890625,-1
2478,2475,62813.8984375,1
2481,2480,60792.14453125,-1
2487,2481,61585.96875,1
2489,2488,60988.93359375,-1
2501,2498,62243.31640625,1
2502,2501,61268.55078125,-1
2518,2508,62415.45703125,1
2528,2527,61833.94921875,-1
2586,2582,68109.140625,1
2588,2587,66980.6796875,-1
2597,2594,67365.3671875,1
2602,2601,61442.9375,-1
2628,2622,66807.1875,1
2630,2628,65975.3984375,-1
2653,2649,67589.28125,1
2654,2653,66931.3984375,-1
2675,2673,68970.8515625,1
2680,2679,68084.9296875,-1
2723,2711,69753.734375,1
2725,2724,68520.3515625,-1
2753,2747,72440.640625,1
2754,2753,71626.125,-1
2766,2756,72058.6328125,1
2767,2766,70503.9765625,-1
2811,2805,73249.78125,1
2814,2813,70835.78125,-1
2816,2814,70727.484375,1
2818,2817,69559.625,-1
2824,2822,71568.6484375,1
2828,2827,67384.59375,-1
2832,2828,68142.2265625,1
2833,2832,67262.65625,-1
2842,2840,68655.9921875,1
2843,2842,67918.5859375,-1
2850,2845,69498.3203125,1
2852,2851,68967.90625,-1
2856,2852,69144.0390625,1
2860,2859,67700.71875,-1
2863,2861,68125.8125,1
2870,2869,65258.34765625,-1
2876,2873,66269.4609375,1
2877,2876,65015.3046875,-1
2894,2889,68251.5078125,1
2895,2894,67248.9296875,-1
2907,2899,68392.671875,1
2909,2908,66956.4296875,-1
2918,2916,67656.3828125,1
2927,2926,63446.58984375,-1
2938,2934,64662.31640625,1
2942,2941,61930.3515625,-1
2946,2943,62234.13671875,1
2948,2947,61534.20703125,-1
2969,2966,67682.3671875,1
2970,2969,66670.8046875,-1
2983,2977,67057.1953125,1
2985,2984,65121.7421875,-1
2999,2995,66326.125,1
3005,3004,62725.21484375,-1
3033,3030,65497.625,1
3038,3037,64027.41796875,-1
3085,3081,70735.359375,1
3087,3086,69905.375,-1
3100,3095,70906.3828125,1
3103,3102,69745.453125,-1
3117,3112,70351.6953125,1
3119,3118,69552.3828125,-1
3125,3120,70033.2265625,1
3126,3125,68857.6484375,-1
3161,3148,71015.8984375,1
3168,3167,69747.4921875,-1
3173,3171,70118.21875,1
3175,3173,69179.6171875,-1
3204,3193,70153.4453125,1
3206,3205,69647.7421875,-1
3234,3228,70956.5703125,1
3236,3235,69220.796875,-1
3244,3242,69695.21875,1
3246,3245,68245.3203125,-1
3256,3252,69702.5546875,1
3259,3258,66664.0390625,-1
3263,3259,66793.2734375,1
3268,3267,65226.03515625,-1
3290,3286,66383.390625,1
3292,3291,65821.875,-1
3305,3302,66060.21875,1
3308,3306,65494.2109375,-1
3322,3319,68634.4453125,1
3324,3323,67797.1484375,-1
3330,3325,68196.8984375,1
3338,3337,66474.9765625,-1
3395,3390,69687.4921875,1
3396,3395,69042.2890625,-1
3414,3408,72207.6875,1
3430,3429,70412.453125,-1
3436,3433,70688.453125,1
3439,3438,68583.140625,-1
3458,3452,69317.5390625,1
3459,3458,67953.5703125,-1
3483,3472,70797.359375,1
3485,3484,69646.3828125,-1
3506,3498,70927.015625,1
3513,3512,66524.0546875,-1
3537,3530,67486.421875,1
3539,3538,61896.34765625,-1
3544,3540,63988.14453125,1
3545,3544,63125.7109375,-1
3562,3549,64423.6953125,1
3564,3563,63728.06640625,-1
3579,3575,66498.15625,1
3581,3580,64295.609375,-1
3584,3581,64006.5625,1
3585,3584,63191.41015625,-1
3594,3588,63241.59375,1
3595,3594,62503.6875,-1
3604,3598,63231.7734375,1
3606,3605,61834.85546875,-1
3622,3618,63896.00390625,1
3627,3626,62350.70703125,-1
3643,3640,61671.671875,1
3645,3643,61071.62890625,-1
3662,3652,63512.69921875,1
3664,3663,61043.54296875,-1
3677,3673,64878.0390625,1
3679,3678,64021.203125,-1
3686,3679,64193.6328125,1
3687,3686,63503.0546875,-1
3729,3712,65165.02734375,1
3730,3729,64572.1484375,-1
3764,3758,66836.7890625,1
3770,3769,66072.3359375,-1
3795,3782,66702.4765625,1
3798,3797,64589.8828125,-1
3801,3798,64739.0390625,1
3802,3801,63955.48046875,-1
3818,3805,64201.07421875,1
3819,3818,63398.41796875,-1
3833,3826,64735.90234375,1
3835,3834,64209.08203125,-1
3844,3838,64370.890625,1
3846,3845,63477.42578125,-1
3854,3847,63942.91796875,1
3856,3855,62581.515625,-1
3900,3880,63916.1796875,1
3910,3908,62190.71484375,-1
3930,3926,63814.66796875,1
3940,3939,60816.6875,-1
3945,3940,60584.40234375,1
3946,3945,59163.2421875,-1
3955,3948,60358.28515625,1
3959,3958,57052.7578125,-1
3965,3961,57696.2734375,1
3966,3965,56811.08984375,-1
3978,3971,57807.7109375,1
3979,3978,57327.97265625,-1
4047,4041,63888.73828125,1
4052,4048,63181.63671875,-1
4065,4061,64234.35546875,1
4068,4066,63746.8203125,-1
4080,4078,65143.22265625,1
4083,4082,63583.33984375,-1
4105,4102,64117.78125,1
4108,4107,63204.546875,-1
4112,4108,63682.46484375,1
4118,4117,62322.08203125,-1
4137,4120,62630.109375,1
4142,4141,61162.90625,-1
4152,4147,61517.15625,1
4153,4152,60796.2734375,-1
4180,4172,63000.7734375,1
4184,4183,60372.35546875,-1
4240,4237,61449.83203125,1
4244,4243,60843.328125,-1
4263,4257,63024.83203125,1
4273,4272,61678.07421875,-1
4326,4319,66154.7578125,1
4328,4327,65029.8515625,-1
4398,4368,67148.75,1
4403,4401,66040.375,-1
4444,4432,71141.2578125,1
4450,4449,69286.0,-1
4471,4469,70224.8046875,1
4477,4476,69105.5546875,-1
4491,4486,69584.2734375,1
4498,4497,67112.03125,-1
4508,4504,67826.6953125,1
4510,4508,66909.765625,-1
4567,4550,69151.4375,1
4574,4573,68476.765625,-1
4579,4575,69007.6875,1
4581,4580,68369.5546875,-1
4593,4589,70098.5234375,1
4594,4593,69200.9296875,-1
4599,4594,69545.40625,1
4606,4605,67645.515625,-1
4615,4608,68245.3515625,1
4616,4615,67693.40625,-1
4629,4625,68704.8984375,1
4634,4633,67689.4375,-1
4665,4663,69110.71875,1
4671,4668,68292.015625,-1
4683,4672,68473.0234375,1
4688,4686,67140.296875,-1
4762,4754,69548.609375,1
4766,4765,68797.9375,-1
4833,4805,71323.0390625,1
4835,4833,70458.34375,-1
4854,4848,71290.3359375,1
4859,4856,69096.6328125,-1
4935,4926,69771.34375,1
4946,4945,66815.421875,-1
4976,4972,69598.6015625,1
4978,4977,67568.1328125,-1
4984,4979,68264.28125,1
4988,4986,67338.625,-1
4997,4992,67673.8671875,1
4998,4997,66444.0703125,-1
5021,5017,66960.015625,1
5024,5022,65247.0859375,-1
5085,5076,66600.546875,1
5092,5091,65150.80078125,-1
5102,5096,66565.03125,1
5104,5103,65125.61328125,-1
5114,5109,65599.765625,1
5122,5121,64390.48828125,-1
5140,5131,65420.26953125,1
5142,5141,64889.03125,-1
5163,5160,66099.9453125,1
5167,5165,64788.8046875,-1
5177,5170,64996.5234375,1
5183,5182,63608.32421875,-1
5242,5224,64411.28515625,1
5253,5251,62306.53515625,-1
5255,5253,62329.58984375,1
5259,5258,61138.37109375,-1
5262,5259,61087.12109375,1
5267,5266,59492.640625,-1
5299,5295,62014.109375,1
5306,5304,61288.60546875,-1
5311,5307,61577.44921875,1
5320,5317,60811.2265625,-1
5356,5335,61686.86328125,1
5363,5361,59985.40234375,-1
5422,5416,63296.0390625,1
5426,5425,62605.10546875,-1
5435,5431,63435.984375,1
5440,5437,62844.41015625,-1
5445,5441,63012.828125,1
5449,5445,62548.27734375,-1
5452,5449,62639.1953125,1
5455,5454,61845.1953125,-1
5463,5455,62059.30078125,1
5475,5474,59944.66015625,-1
5481,5475,60201.87109375,1
5483,5482,59540.59375,-1
5487,5484,60177.8515625,1
5488,5487,58544.546875,-1
5493,5488,58841.1875,1
5496,5494,57630.78515625,-1
5509,5506,58287.94921875,1
5510,5509,57022.80859375,-1
5512,5510,56840.44140625,1
5515,5514,53905.5625,-1
5562,5559,58124.36328125,1
5566,5565,57366.6953125,-1
5571,5566,57568.01171875,1
5573,5572,56727.07421875,-1
5579,5575,57133.91015625,1
5584,5583,54946.7578125,-1
5596,5590,57378.43359375,1
5598,5597,55760.28125,-1
5641,5635,58885.3515625,1
5651,5650,57378.46484375,-1
5668,5665,58538.4375,1
5670,5669,57404.1171875,-1
5676,5671,57717.74609375,1
5680,5679,56946.65625,-1
5697,5695,58111.71875,1
5700,5698,57571.42578125,-1
5738,5734,60162.0078125,1
5739,5738,59622.42578125,-1
5779,5776,64678.17578125,1
5783,5782,62808.01171875,-1
5808,5802,65663.140625,1
5810,5809,64723.17578125,-1
5814,5811,64765.5546875,1
5816,5814,64278.57421875,-1
5836,5830,64799.66015625,1
5838,5837,63540.2109375,-1
5880,5865,66947.3515625,1
5885,5881,66525.7890625,-1
5900,5895,67310.75,1
5903,5901,66720.5390625,-1
5924,5917,68050.9765625,1
5927,5926,67092.6875,-1
5942,5937,67866.5625,1
5949,5947,66444.84375,-1
5958,5951,66866.4140625,1
5962,5961,65567.578125,-1
5985,5975,66393.6796875,1
5986,5985,65655.8828125,-1
5991,5989,65326.07421875,1
5998,5993,64101.27734375,-1
6057,6051,68857.109375,1
6059,6058,67797.484375,-1
6061,6059,68589.890625,1
6062,6061,67808.6796875,-1
6066,6063,67986.4765625,1
6072,6070,67371.6640625,-1
6100,6096,69605.0,1
6103,6102,66923.515625,-1
6109,6104,67265.296875,1
6112,6111,66199.609375,-1
6123,6116,66751.140625,1
6125,6124,65786.75,-1
6153,6148,66338.046875,1
6155,6154,64549.6015625,-1
6159,6155,64697.71484375,1
6163,6162,63701.34375,-1
6172,6169,64622.00390625,1
6175,6174,62865.71484375,-1
6184,6180,64957.58984375,1
6188,6187,64108.59375,-1
6196,6192,64605.75390625,1
6197,6196,63092.44140625,-1
6202,6198,63049.6796875,1
6205,6204,61307.515625,-1
6221,6219,61880.33203125,1
6225,6224,60207.5625,-1
6244,6242,60848.265625,1
6248,6247,57856.3828125,-1
6253,6249,58851.24609375,1
6256,6255,54394.26171875,-1
6259,6256,54056.43359375,1
6261,6260,51591.79296875,-1
6264,6261,52405.8671875,1
6267,6266,49813.3671875,-1
6272,6269,54134.64453125,1
6273,6272,53115.1328125,-1
6286,6279,55718.86328125,1
6287,6286,55087.609375,-1
6315,6311,57327.23046875,1
6322,6321,54767.0859375,-1
6351,6348,61741.328125,1
6356,6354,60819.40234375,-1
6365,6356,60798.2265625,1
6366,6365,59837.37890625,-1
6409,6405,61191.86328125,1
6419,6418,58548.4375,-1
6440,6437,59623.01953125,1
6441,6440,58542.28125,-1
6454,6446,59555.203125,1
6457,6456,58699.5625,-1
6468,6462,61007.02734375,1
6472,6471,60580.6640625,-1
6483,6481,60942.62890625,1
6494,6493,58712.96875,-1
6511,6509,59481.85546875,1
6515,6514,56632.9296875,-1
6539,6536,59472.11328125,1
6542,6541,58897.42578125,-1
6587,6577,59908.7421875,1
6591,6590,58380.109375,-1
6599,6592,58595.87109375,1
6600,6599,58040.0390625,-1
6628,6619,60995.140625,1
6631,6630,58815.78125,-1
6664,6659,61235.46484375,1
6665,6664,60188.30078125,-1
6675,6672,61166.71875,1
6681,6679,60172.51171875,-1
6763,6755,64337.796875,1
6767,6765,63652.1875,-1
6778,6768,63775.7734375,1
6783,6782,62727.78125,-1
6791,6786,63052.24609375,1
6799,6798,61573.8046875,-1
6803,6799,61916.04296875,1
6808,6806,59132.20703125,-1
6820,6817,59905.36328125,1
6824,6823,58653.66015625,-1
6848,6844,60816.8828125,1
6849,6848,59178.6484375,-1
6857,6850,59459.4296875,1
6860,6859,58779.109375,-1
6868,6863,59447.1484375,1
6870,6869,58088.8515625,-1
6902,6882,59234.78125,1
